id,name,state,city,type,rent,distance,facilities,contact,description
1,"Sai Ram Paying Guest",Delhi,"Delhi NCR","Shared PG Rooms",6500,"0.5 km (5 mins walk)","WiFi | 3 Meals Included | Laundry | Purified Water",+91-98765-43210,"A safe and homely PG facility ideal for students looking for a focused environment. Includes authentic home-cooked meals thrice a day and 24/7 warden security. Located close to the main university library."
2,"Stanza Living Campus Hub",Karnataka,Bengaluru,"Premium Single Room",14000,"0.2 km (2 mins walk)","WiFi | Gym | AC | Biometric Security | Lounge",+91-91234-56789,"Premium co-living space designed for modern students. Features fully air-conditioned rooms, a state-of-the-art gaming lounge, daily professional housekeeping, and an attached modern washroom. Right opposite the main campus gate."
3,"Balaji Student Residency",Maharashtra,Pune,"Double Sharing Hostel",4500,"1.2 km (15 mins walk)","WiFi | Shared Kitchen | Power Backup | Parking",+91-87654-32109,"Highly budget-friendly student accommodation. Features a massive terrace lounge, power backup for long power cuts, and dedicated two-wheeler parking. A popular local tiffin service delivers meals directly to the building."
4,"Zolo Scholar House",Rajasthan,Kota,"1-BHK Managed Apartment",11000,"1.8 km (Free Auto-Shuttle)","WiFi | AC | Private Kitchen | Washing Machine",+91-76543-21098,"Perfect independent setup for final-year or postgraduate students who want complete privacy. Comes with a functional kitchen setup, refrigerator, and an automatic washing machine. Free daily auto-shuttle connects straight to the engineering department."
5,"Greenfield Co-Living",Telangana,Hyderabad,"Triple Sharing Room",5500,"0.8 km (10 mins walk)","WiFi | Laundry | CCTV | Geyser | Cooler Included",+91-65432-10987,"An affordable and vibrant student community setup. Features high-speed internet, hot water geysers for winters, and heavy-duty desert coolers in every room. Located in a bustling student market area with cheap local street food stalls right outside."
6,"Saraswati Niwas","Andhra Pradesh",Visakhapatnam,"Double Sharing PG",6000,"0.6 km (7 mins walk)","WiFi | Homemade Food | Water Cooler | CCTV",+91-90099-88776,"Run by a warm retired professor's family. Focuses heavily on hygiene, clean environment, and provides rich home-cooked North Indian food. Quiet residential locality away from main road traffic."
7,"Venkateswara Student Stay","Andhra Pradesh",Vijayawada,"Triple Sharing Room",5200,"1.1 km (13 mins walk)","WiFi | Laundry | South Indian Food | Two-Wheeler Parking",+91-80099-88776,"Quiet residential property tailored for students coming from Southern Indian states, offering authentic regional food options. Includes professional laundry wash and dry cycles twice a week."
8,"Tawang Elite Luxury","Arunachal Pradesh",Itanagar,"Single Executive Room",7500,"1.4 km (Auto Stand Outside)","WiFi | AC | Cleaning App Service | Attached Washroom",+91-82211-00099,"Tech-enabled smart student living. You can request housekeeping, file maintenance complaints, or choose your weekly meal preferences directly through an interactive Android/iOS mobile application."
9,"Siang River Boys Hostel","Arunachal Pradesh",Pasighat,"Double Sharing Room",4800,"1.3 km (15 mins walk)","WiFi | Mess Food | Power Backup | Recreation area",+91-88877-66554,"A lively boys-only hostel facility. Features an active indoor sports area with a table tennis setup and carrom boards. Provides unlimited buffet-style breakfast and dinner daily."
10,"Pragjyotish Student Hub",Assam,Guwahati,"Premium Double Sharing",9500,"0.4 km (5 mins walk)","WiFi | Gym | Laundry | Power Backup | Guard",+91-98877-66554,"Modern student accommodation with upscale interiors. Includes biometric security entry, common gaming console area, laundry service twice a week, and a fully equipped gymnasium."
11,"Kaziranga Co-Living",Assam,Silchar,"Four Sharing Dorm",3500,"2.0 km (Metro Station Across)","WiFi | Shared Kitchen | Locker Facility | Parking",+91-95544-33221,"The absolute cheapest option designed for low-budget requirements. Secure lockable steel wardrobes are provided for personal belongings. Located directly opposite the public metro station for fast travel."
12,"Patliputra PG for Men",Bihar,Patna,"Single Room",8000,"1.0 km (12 mins walk)","WiFi | 2 Meals Included | Attached Washroom | RO Water",+91-99887-76655,"A peaceful facility tailored for competitive exam aspirants. Offers a strict no-disturbance policy, study desks in every room, and simple, healthy vegetarian meals twice a day."
13,"Nalanda Scholar House",Bihar,Gaya,"Four Sharing Room",3800,"2.3 km (Free Bus Pass Help)","WiFi | Common Kitchen | Large Playground | Parking",+91-85544-33221,"Spacious green compound layout ideal for sports enthusiasts, featuring a volleyball court outside. The management provides active administrative help to students applying for local government bus travel passes."
14,"Mahanadi Student Haven",Chhattisgarh,Raipur,"Double Sharing Studio",8500,"0.7 km (9 mins walk)","WiFi | Lift | Power Backup | Geyser | Security",+91-93322-11000","A newly built modern multi-story complex. Includes elevator access, independent electrical meters for each room, high-pressure water geysers, and an on-call plumber/electrician service."
15,"Bhilai Tech PG",Chhattisgarh,Bhilai","Triple Sharing Room",4900,"1.3 km (16 mins walk)","WiFi | 3 Meals Included | Lift | Two-Wheeler Parking",+91-73322-11000","An extension of the popular Balaji residency group. Offers cost-effective triple occupancy options equipped with a modern hydraulic lift system, running water supply, and wholesome meals."
16,"Mandovi Co-Living Villa",Goa,Panaji,"Double Sharing Luxury",10500,"0.4 km (5 mins walk)","WiFi | AC | Lounge Room | Laundromat | Micro-Kitchen",+91-79988-77665","Vibrant modern boutique villa customized for student groups. Features multi-utility community micro-kitchens with microwaves, vending machines, and a beautifully decorated terrace rooftop lounge."
17,"Zuari Academic House",Goa,Margao,"Single Cozy Room",9000,"1.0 km (12 mins walk)","WiFi | AC | Shared Balcony | Power Backup",+91-69988-77665","Mid-budget cozy single room with rich natural lighting. Features a long shared common balcony setup with outdoor seating chairs for relaxing during study breaks."
18,"Sabarmati Student Niwas",Gujarat,Ahmedabad,"Double Sharing Room",5300,"1.4 km (Cycle Stand)","WiFi | Pure Veg Meals | Cooler | Massive Library",+91-68877-66554,"Features an incredible fully silent reference library built inside the ground floor of the building. Perfect for students preparing for UPSC, GATE, or medical entrance exams."
19,"Sayajirao Executive PG",Gujarat,Vadodara,"Single Room",8800,"0.7 km (9 mins walk)","WiFi | 3 Meals Included | North & South Menu | Lift",+91-67766-55443","A cosmopolitan student PG serving both North Indian wheat-based dishes and South Indian rice-based meals daily. Features top-tier water purifier plants and clean elevator systems."
20,"Sultanpur Scholar Zone",Haryana,Gurugram,"2-BHK Shared Flat",11500,"1.9 km (Free College Shuttle)","WiFi | AC | Modern Lounge | Washing Machine",+91-66655-44332","A premium flat layout where you share a fully functional modern apartment space with just one other university student. Includes luxury couches, a smart TV, and an automatic dry-laundromat system."
21,"Kurukshetra Boys PG",Haryana,Kurukshetra","Four Sharing Dorm",3400,"2.2 km (Bus Stop Outside)","WiFi | Common Lockers | Ceiling Fans | Parking",+91-65544-33221","The ultimate survival budget option for freshers. Focuses on delivering clean beds, functional ceiling fans, heavy-duty metal lockers, and zero overhead maintenance charges."
22,"Shimla Ridge Co-Living","Himachal Pradesh",Shimla","Single Premium Room",14500,"0.3 km (3 mins walk)","WiFi | AC | Japanese Garden Vibe | Gym | Housekeeping",+91-74433-22110","Beautifully curated Japanese Zen-themed interiors. Includes low-stress study zones, organic food selections in the cafeteria, fitness trainer access, and top-tier hospitality management."
23,"Kangra Valley Student Hub","Himachal Pradesh",Dharamshala","Double Sharing Room",7800,"0.9 km (11 mins walk)","WiFi | Cooler | App-based Support | Daily Mopping",+91-72211-00099","Clean managed rooms that can be unlocked via your smartphone app. Housekeeping is done on a daily schedule, and any maintenance issues are resolved within a guaranteed 6-hour window."
24,"Ranchi Plateau PG",Jharkhand,Ranchi","Independent 1-RK",10000,"1.5 km (Metro Line Near)","WiFi | Private Washroom | Induction Stove | Fridge",+91-71100-00998","An independent 1-Room-Kitchen setup perfect for students who love cooking their own food and dislike mess timings. Comes pre-fitted with an eco-induction stove and a mini-refrigerator."
25,"Steel City Student Haven",Jharkhand,Jamshedpur","Double Sharing Room",6800,"0.5 km (6 mins walk)","WiFi | 3 Meals | Evening Snacks | Heavy Security",+91-70099-88776,"Highly reviewed girls' PG noted for its exceptional culinary variety, including evening tea and fresh snacks. Located inside a gated security colony with active police patrolling nearby."
26,"Mysore Palace PG",Karnataka,Mysuru","Triple Sharing Space",5700,"0.9 km (11 mins walk)","WiFi | Laundry | Rooftop Cafe Style Lounge | CCTV",+91-59988-77665","Features a spectacular open-air rooftop lounge setup with high-speed internet, allowing students to study comfortably under the open sky or hold group study discussions."
27,"Malabar Coast Girls PG",Kerala,Kochi","Single Room (Non-AC)",9500,"0.5 km (6 mins walk)","WiFi | All Meals | Wardens | Indoor Gym",+91-60099-88776,"Spacious single non-air-conditioned room option with great window ventilation. The PG facility includes an internal badminton court, active female wardens, and medical emergency assistance."
28,"Calicut Academic House",Kerala,Kozhikode","Double Sharing Room",6300,"0.8 km (10 mins walk)","WiFi | 3 Meals Included | Geyser | Power Backup",+91-61100-00998","Highly recommended accommodation with zero water or electrical scarcity issues. Includes daily room cleaning, high-speed commercial routers on every floor, and hot bath water facilities."
29,"Raja Bhoj Boys Hostel","Madhya Pradesh",Bhopal","Four Sharing Dorm",3600,"1.8 km (Auto Route)","WiFi | Mess Food | Water Cooler | Parking",+91-58877-66554","Extremely economical dorm setup that includes three standard student meals a day. Located on a highly active share-auto route, making traveling to the main campus cost pocket change."
30,"Ahilya Devi Girls PG","Madhya Pradesh",Indore","Double Sharing Studio",8200,"1.2 km (Modular Furniture)","WiFi | Induction Cooktop | Geyser | CCTV Protected",+91-57766-55443","Modern studio room equipped with smart space-saving modular beds and fold-out study desks. Includes an independent private bathroom and an energy-efficient induction plate."
31,"Deekshabhoomi PG",Maharashtra,Nagpur","Single Room",7200,"1.3 km (15 mins walk)","WiFi | 2 Meals Included | Homely Atmosphere | Cooler",+91-56655-44332","Run by an affectionate family who treats students like their own. Includes customized home-cooked meals, assistance during seasonal illnesses, and a peaceful green backyard space."
32,"Kangla Student Villa",Manipur,Imphal","Independent Penthouse Studio",18000,"0.1 km (1 min walk)","WiFi | AC | Private Terrace | Gym | All Services Included",+91-55544-33221","The absolute highest-tier premium penthouse option located right above the campus square market. Features a massive completely private terrace, luxury leather recliner study setup, and an open personal kitchen."
33,"Leimaram Student Center",Manipur,Churachandpur","Shared PG Rooms",6500,"0.5 km (5 mins walk)","WiFi | 3 Meals Included | Laundry | Purified Water",+91-98765-43210","A safe and homely PG facility ideal for students looking for a focused environment. Includes authentic home-cooked meals thrice a day and 24/7 warden security. Located close to the main university library."
34,"Shillong Peak Residency",Meghalaya,Shillong","Premium Single Room",14000,"0.2 km (2 mins walk)","WiFi | Gym | AC | Biometric Security | Lounge",+91-91234-56789","Premium co-living space designed for modern students. Features fully air-conditioned rooms, a state-of-the-art gaming lounge, daily professional housekeeping, and an attached modern washroom. Right opposite the main campus gate."
35,"Tura Scholar Hub",Meghalaya,Tura","Double Sharing Hostel",4500,"1.2 km (15 mins walk)","WiFi | Shared Kitchen | Power Backup | Parking",+91-87654-32109","Highly budget-friendly student accommodation. Features a massive terrace lounge, power backup for long power cuts, and dedicated two-wheeler parking. A popular local tiffin service delivers meals directly to the building."
36,"Mizo Hills Academy Stay",Mizoram,Aizawl","1-BHK Managed Apartment",11000,"1.8 km (Free Auto-Shuttle)","WiFi | AC | Private Kitchen | Washing Machine",+91-76543-21098","Perfect independent setup for final-year or postgraduate students who want complete privacy. Comes with a functional kitchen setup, refrigerator, and an automatic washing machine. Free daily auto-shuttle connects straight to the engineering department."
37,"Lunglei Student Home",Mizoram,Lunglei","Triple Sharing Room",5500,"0.8 km (10 mins walk)","WiFi | Laundry | CCTV | Geyser | Cooler Included",+91-65432-10987","An affordable and vibrant student community setup. Features high-speed internet, hot water geysers for winters, and heavy-duty desert coolers in every room. Located in a bustling student market area with cheap local street food stalls right outside."
38,"Naga Heritage Boys PG",Nagaland,Kohima","Double Sharing PG",6000,"0.6 km (7 mins walk)","WiFi | Homemade Food | Water Cooler | CCTV",+91-90099-88776","Run by a warm retired professor's family. Focuses heavily on hygiene, clean environment, and provides rich home-cooked North Indian food. Quiet residential locality away from main road traffic."
39,"Dimapur Junction Hostel",Nagaland,Dimapur","Triple Sharing Room",5200,"1.1 km (13 mins walk)","WiFi | Laundry | South Indian Food | Two-Wheeler Parking",+91-80099-88776","Quiet residential property tailored for students coming from Southern Indian states, offering authentic regional food options. Includes professional laundry wash and dry cycles twice a week."
40,"Kalinga Scholar Zone",Odisha,Bhubaneswar","Single Executive Room",7500,"1.4 km (Auto Stand Outside)","WiFi | AC | Cleaning App Service | Attached Washroom",+91-82211-00099","Tech-enabled smart student living. You can request housekeeping, file maintenance complaints, or choose your weekly meal preferences directly through an interactive Android/iOS mobile application."
41,"Silk City Student Stay",Odisha,Berhampur","Double Sharing Room",4800,"1.3 km (15 mins walk)","WiFi | Mess Food | Power Backup | Recreation area",+91-88877-66554","A lively boys-only hostel facility. Features an active indoor sports area with a table tennis setup and carrom boards. Provides unlimited buffet-style breakfast and dinner daily."
42,"Golden Temple PG",Punjab,Amritsar","Premium Double Sharing",9500,"0.4 km (5 mins walk)","WiFi | Gym | Laundry | Power Backup | Guard",+91-98877-66554","Modern student accommodation with upscale interiors. Includes biometric security entry, common gaming console area, laundry service twice a week, and a fully equipped gymnasium."
43,"LPU Surroundings Hub",Punjab,Jalandhar","Four Sharing Dorm",3500,"2.0 km (Metro Station Across)","WiFi | Shared Kitchen | Locker Facility | Parking",+91-95544-33221","The absolute cheapest option designed for low-budget requirements. Secure lockable steel wardrobes are provided for personal belongings. Located directly opposite the public metro station for fast travel."
44,"Pink City Youth PG",Rajasthan,Jaipur","Single Room",8000,"1.0 km (12 mins walk)","WiFi | 2 Meals Included | Attached Washroom | RO Water",+91-99887-76655","A peaceful facility tailored for competitive exam aspirants. Offers a strict no-disturbance policy, study desks in every room, and simple, healthy vegetarian meals twice a day."
45,"Kanchenjunga Girls PG",Sikkim,Gangtok","Four Sharing Room",3800,"2.3 km (Free Bus Pass Help)","WiFi | Common Kitchen | Large Playground | Parking",+91-85544-33221","Spacious green compound layout ideal for sports enthusiasts, featuring a volleyball court outside. The management provides active administrative help to students applying for local government bus travel passes."
46,"Namchi Student Niwas",Sikkim,Namchi","Double Sharing Studio",8500,"0.7 km (9 mins walk)","WiFi | Lift | Power Backup | Geyser | Security",+91-93322-11000","A newly built modern multi-story complex. Includes elevator access, independent electrical meters for each room, high-pressure water geysers, and an on-call plumber/electrician service."
47,"Chennai Central Co-Living","Tamil Nadu",Chennai","Triple Sharing Room",4900,"1.3 km (16 mins walk)","WiFi | 3 Meals Included | Lift | Two-Wheeler Parking",+91-73322-11000","An extension of the popular Balaji residency group. Offers cost-effective triple occupancy options equipped with a modern hydraulic lift system, running water supply, and wholesome meals."
48,"Kovai Student Elite","Tamil Nadu",Coimbatore","Double Sharing Luxury",10500,"0.4 km (5 mins walk)","WiFi | AC | Lounge Room | Laundromat | Micro-Kitchen",+91-79988-77665","Vibrant modern boutique villa customized for student groups. Features multi-utility community micro-kitchens with microwaves, vending machines, and a beautifully decorated terrace rooftop lounge."
49,"Kakatiya Student Haven",Telangana,Warangal","Single Cozy Room",9000,"1.0 km (12 mins walk)","WiFi | AC | Shared Balcony | Power Backup",+91-69988-77665","Mid-budget cozy single room with rich natural lighting. Features a long shared common balcony setup with outdoor seating chairs for relaxing during study breaks."
50,"Tripura Sundari PG",Tripura,Agartala","Double Sharing Room",5300,"1.4 km (Cycle Stand)","WiFi | Pure Veg Meals | Cooler | Massive Library",+91-68877-66554","Features an incredible fully silent reference library built inside the ground floor of the building. Perfect for students preparing for UPSC, GATE, or medical entrance exams."
51,"Dharmanagar Academy Hub",Tripura,Dharmanagar","Single Room",8800,"0.7 km (9 mins walk)","WiFi | 3 Meals Included | North & South Menu | Lift",+91-67766-55443","A cosmopolitan student PG serving both North Indian wheat-based dishes and South Indian rice-based meals daily. Features top-tier water purifier plants and clean elevator systems."
52,"Taj View Scholar Suite","Uttar Pradesh",Agra","2-BHK Shared Flat",11500,"1.9 km (Free College Shuttle)","WiFi | AC | Modern Lounge | Washing Machine",+91-66655-44332","A premium flat layout where you share a fully functional modern apartment space with just one other university student. Includes luxury couches, a smart TV, and an automatic dry-laundromat system."
53,"Prayagraj Coaching PG","Uttar Pradesh",Prayagraj","Four Sharing Dorm",3400,"2.2 km (Public Bus Stop Outside)","WiFi | Common Lockers | Ceiling Fans | Parking",+91-65544-33221","The ultimate survival budget option for freshers. Focuses on delivering clean beds, functional ceiling fans, heavy-duty metal lockers, and zero overhead maintenance charges."
54,"Doon Valley Co-Living",Uttarakhand,Dehradun","Single Premium Room",14500,"0.3 km (3 mins walk)","WiFi | AC | Japanese Garden Vibe | Gym | Housekeeping",+91-74433-22110","Beautifully curated Japanese Zen-themed interiors. Includes low-stress study zones, organic food selections in the cafeteria, fitness trainer access, and top-tier hospitality management."
55,"Ganga Ghat Student Stay",Uttarakhand,Haridwar","Double Sharing Room",7800,"0.9 km (11 mins walk)","WiFi | Cooler | App-based Support | Daily Mopping",+91-72211-00099","Clean managed rooms that can be unlocked via your smartphone app. Housekeeping is done on a daily schedule, and any maintenance issues are resolved within a guaranteed 6-hour window."
56,"Howrah Student Junction","West Bengal",Kolkata","Independent 1-RK",10000,"1.5 km (Metro Line Near)","WiFi | Private Washroom | Induction Stove | Fridge",+91-71100-00998","An independent 1-Room-Kitchen setup perfect for students who love cooking their own food and dislike mess timings. Comes pre-fitted with an eco-induction stove and a mini-refrigerator."
57,"Siliguri Youth PG","West Bengal",Siliguri","Double Sharing Room",6800,"0.5 km (6 mins walk)","WiFi | 3 Meals | Evening Snacks | Heavy Security",+91-70099-88776","Highly reviewed girls' PG noted for its exceptional culinary variety, including evening tea and fresh snacks. Located inside a gated security colony with active police patrolling nearby."
58,"Noida Sector 62 Hub",Delhi,Noida","Triple Sharing Space",5700,"0.9 km (11 mins walk)","WiFi | Laundry | Rooftop Cafe Style Lounge | CCTV",+91-59988-77665","Features a spectacular open-air rooftop lounge setup with high-speed internet, allowing students to study comfortably under the open sky or hold group study discussions."